# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1	1545	+					dnaA		MPAO1_00005	1545		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1	1545	+	QPZ79443.1			chromosomal replication initiator protein DnaA	dnaA		MPAO1_00005	1545	514	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1574	2677	+							MPAO1_00010	1104		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1574	2677	+	QPZ79444.1			DNA polymerase III subunit beta			MPAO1_00010	1104	367	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	2687	3796	+					recF		MPAO1_00015	1110		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	2687	3796	+	QPZ79445.1			DNA replication/repair protein RecF	recF		MPAO1_00015	1110	369	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	3793	6213	+							MPAO1_00020	2421		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	3793	6213	+	QPZ79446.1			DNA gyrase subunit B			MPAO1_00020	2421	806	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	6536	7309	-							MPAO1_00025	774		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	6536	7309	-	QPZ79447.1			1-acyl-sn-glycerol-3-phosphate acyltransferase			MPAO1_00025	774	257	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	7321	7857	-							MPAO1_00030	537		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	7321	7857	-	QPZ85051.1			D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase			MPAO1_00030	537	178	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	8189	9895	+							MPAO1_00035	1707		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	8189	9895	+	QPZ79448.1			hypothetical protein			MPAO1_00035	1707	568	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	9952	12006	-							MPAO1_00040	2055		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	9952	12006	-	QPZ79449.1			glycine--tRNA ligase subunit beta			MPAO1_00040	2055	684	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	12006	12953	-					glyQ		MPAO1_00045	948		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	12006	12953	-	QPZ85052.1			glycine--tRNA ligase subunit alpha	glyQ		MPAO1_00045	948	315	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	13058	13609	+					tag		MPAO1_00050	552		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	13058	13609	+	QPZ79450.1			DNA-3-methyladenine glycosylase I	tag		MPAO1_00050	552	183	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	13753	14640	+							MPAO1_00055	888		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	13753	14640	+	QPZ79451.1			lysophospholipid acyltransferase			MPAO1_00055	888	295	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	14725	14991	+							MPAO1_00060	267		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	14725	14991	+	QPZ79452.1			PilZ domain-containing protein			MPAO1_00060	267	88	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	15138	15791	+							MPAO1_00065	654		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	15138	15791	+	QPZ79453.1			7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter			MPAO1_00065	654	217	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	15853	16125	-							MPAO1_00070	273		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	15853	16125	-	QPZ79454.1			hypothetical protein			MPAO1_00070	273	90	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	16418	16735	-							MPAO1_00075	318		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	16418	16735	-	QPZ79455.1			tetratricopeptide repeat protein			MPAO1_00075	318	105	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	16884	18257	-					trkA		MPAO1_00080	1374		
