Gene ID	Annotation	Gene length (bp)	No. of Unique hits	Normalize Unique hits (hits/bp)	Total number of reads	Pvalue (Essential)	Adj. Pvalue (Essential)	FWER (Essential)	Pvalue (Improved fitness)	Adj. Pvalue (Improved fitness)	FWER (Improved fitness)
MPAO1_00005	chromosomal replication initiator protein DnaA	1545	0.0	0.0	0.0	0.5448827689516649	1.0	1.0	0.4551172310483351	0.48960085726612623	1.0
MPAO1_00010	DNA polymerase III subunit beta	1104	0.0	0.0	0.0	0.6849630325092126	1.0	1.0	0.31503696749078736	0.40842242940248086	1.0
MPAO1_00015	DNA replication/repair protein RecF	1110	1.0	0.001002004008016032	10.0	0.8858181728412127	1.0	1.0	0.11418182715878733	0.3961988075793105	1.0
MPAO1_00020	DNA gyrase subunit B	2421	0.0	0.0	0.0	0.3934598073168657	1.0	1.0	0.6065401926831343	0.6172512556425664	1.0
MPAO1_00025	1-acyl-sn-glycerol-3-phosphate acyltransferase	774	0.0	0.0	0.0	0.7612502848385325	1.0	1.0	0.23874971516146748	0.3895006454951723	1.0
MPAO1_00030	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	537	0.0	0.0	0.0	0.71577348449497	1.0	1.0	0.28422651550503	0.3993983882712327	1.0
MPAO1_00035	hypothetical protein	1707	0.0	0.0	0.0	0.5214283036015032	1.0	1.0	0.47857169639849684	0.5073118902489385	1.0
MPAO1_00040	glycine--tRNA ligase subunit beta	2055	0.0	0.0	0.0	0.4946117553116419	1.0	1.0	0.5053882446883581	0.5295315690335417	1.0
MPAO1_00045	glycine--tRNA ligase subunit alpha	948	0.0	0.0	0.0	0.7095024697094929	1.0	1.0	0.29049753029050707	0.40045602322879936	1.0
MPAO1_00050	DNA-3-methyladenine glycosylase I	552	0.0	0.0	0.0	0.7885227837499821	1.0	1.0	0.21147721625001792	0.3874884903733184	1.0
MPAO1_00055	lysophospholipid acyltransferase	888	0.0	0.0	0.0	0.6002631937313465	1.0	1.0	0.3997368062686535	0.4536009550670165	1.0
MPAO1_00060	PilZ domain-containing protein	267	0.0	0.0	0.0	0.8535117369454608	1.0	1.0	0.14648826305453921	0.391034518725968	1.0
MPAO1_00065	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter	654	0.0	0.0	0.0	0.7349210550528498	1.0	1.0	0.26507894494715023	0.3942646858297948	1.0
MPAO1_00070	hypothetical protein	273	0.0	0.0	0.0	0.8610555933102664	1.0	1.0	0.13894440668973362	0.39114713722330186	1.0
MPAO1_00075	tetratricopeptide repeat protein	318	0.0	0.0	0.0	0.9238569894445031	1.0	1.0	0.07614301055549688	0.40140683053382126	1.0
MPAO1_00080	Trk system potassium transporter TrkA	1374	0.0	0.0	0.0	0.5353769695556908	1.0	1.0	0.4646230304443092	0.49718808901358996	1.0
MPAO1_00085	ribosomal RNA small subunit methyltransferase B	1305	0.0	0.0	0.0	0.7612502848385325	1.0	1.0	0.23874971516146748	0.3895006454951723	1.0
MPAO1_00090	methionyl-tRNA formyltransferase	945	0.0	0.0	0.0	0.7479698272609776	1.0	1.0	0.2520301727390224	0.3920172943529964	1.0
MPAO1_00095	peptide deformylase	507	0.0	0.0	0.0	0.7954922281799731	1.0	1.0	0.20450777182002688	0.38890219435720413	1.0
MPAO1_00100	LysM peptidoglycan-binding domain-containing protein	1026	2.0	0.0021645021645021645	59.0	0.9902999112883604	1.0	1.0	0.009700088711639632	0.22447685609062107	1.0
