Gene_ID	Annotation	Gene length (bp)	No. of Unique hits	Normalize Unique hits (hits/bp)	Total number of reads	Pvalue (Essential)	Adj. Pvalue (Essential)	FWER (Essential)	Pvalue (Improved fitness)	Adj. Pvalue (Improved fitness)	FWER (Improved fitness)	Ess538
MPAO1_00005	chromosomal replication initiator protein DnaA	1545	0.0	0.0	0.0	0.8738220709284152	1.0	1.0	0.12617792907158476	0.14124430909974772	1.0	Ess538
MPAO1_00010	DNA polymerase III subunit beta	1104	0.0	0.0	0.0	0.9193809461707948	1.0	1.0	0.0806190538292052	0.11677644120455105	1.0	Ess538
MPAO1_00015	DNA replication/repair protein RecF	1110	0.0	0.0	0.0	0.878961465365204	1.0	1.0	0.12103853463479597	0.13777391684417714	1.0	Ess538
MPAO1_00020	DNA gyrase subunit B	2421	0.0	0.0	0.0	0.8128532754969999	1.0	1.0	0.18714672450300007	0.19238342893120572	1.0	Ess538
MPAO1_00025	1-acyl-sn-glycerol-3-phosphate acyltransferase	774	0.0	0.0	0.0	0.9412019137195158	1.0	1.0	0.05879808628048422	0.11656497509500378	1.0	Ess538
MPAO1_00030	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	537	0.0	0.0	0.0	0.9284108523272934	1.0	1.0	0.07158914767270663	0.11566822705337261	1.0	Ess538
MPAO1_00035	hypothetical protein	1707	0.0	0.0	0.0	0.8653231059732113	1.0	1.0	0.13467689402678873	0.1474996800986518	1.0	Ess538
MPAO1_00040	glycine--tRNA ligase subunit beta	2055	0.0	0.0	0.0	0.8552333917709927	1.0	1.0	0.14476660822900733	0.1556783979455004	1.0	Ess538
MPAO1_00045	glycine--tRNA ligase subunit alpha	948	0.0	0.0	0.0	0.92659780368108	1.0	1.0	0.07340219631891998	0.11573447155649454	1.0	Ess538
MPAO1_00050	DNA-3-methyladenine glycosylase I	552	0.0	0.0	0.0	0.9485900591101858	1.0	1.0	0.05140994088981421	0.11915916110028704	1.0	Ess538
MPAO1_00055	lysophospholipid acyltransferase	888	0.0	0.0	0.0	0.8928147789698155	1.0	1.0	0.10718522103018446	0.1293440216003745	1.0	Ess538
MPAO1_00060	PilZ domain-containing protein	267	0.0	0.0	0.0	0.965426123113305	1.0	1.0	0.034573876886695	0.1362099519705048	1.0	Ess538
MPAO1_00065	7-cyano-7-deazaguanine/7-aminomethyl-7-deazaguanine transporter	654	0.0	0.0	0.0	0.9338713113020085	1.0	1.0	0.06612868869799149	0.11572028346733967	1.0	Ess538
MPAO1_00070	hypothetical protein	273	0.0	0.0	0.0	0.9673151460729708	1.0	1.0	0.032684853927029245	0.13962323501677174	1.0	Ess538
MPAO1_00075	tetratricopeptide repeat protein	318	0.0	0.0	0.0	0.9825610022351309	1.0	1.0	0.017438997764869124	0.19414096375359985	1.0	Ess538
MPAO1_00080	Trk system potassium transporter TrkA	1374	0.0	0.0	0.0	0.8704125136510676	1.0	1.0	0.12958748634893236	0.14374697957332033	1.0	Ess538
MPAO1_00085	ribosomal RNA small subunit methyltransferase B	1305	0.0	0.0	0.0	0.9412019137195158	1.0	1.0	0.05879808628048422	0.11656497509500378	1.0	Ess538
MPAO1_00090	methionyl-tRNA formyltransferase	945	0.0	0.0	0.0	0.9375294477322854	1.0	1.0	0.062470552267714585	0.11598291415970509	1.0	Ess538
MPAO1_00095	peptide deformylase	507	0.0	0.0	0.0	0.9504461394026802	1.0	1.0	0.04955386059731981	0.12126460973815398	1.0	Ess538
MPAO1_00100	LysM peptidoglycan-binding domain-containing protein	1026	0.0	0.0	0.0	0.9068864346808673	1.0	1.0	0.09311356531913273	0.12168108869405561	1.0	Ess538
MPAO1_00105	DNA-protecting protein DprA	1089	0.0	0.0	0.0	0.9504461394026802	1.0	1.0	0.04955386059731981	0.12126460973815398	1.0	Ess538
MPAO1_00110	threonylcarbamoyl-AMP synthase	558	0.0	0.0	0.0	0.9597811593216358	1.0	1.0	0.04021884067836423	0.13032323346605565	1.0	Ess538
MPAO1_00115	quinone oxidoreductase	978	0.0	0.0	0.0	0.9229823213193694	1.0	1.0	0.07701767868063059	0.11604970912195503	1.0	Ess538
MPAO1_00120	coproporphyrinogen III oxidase	918	0.0	0.0	0.0	0.9211798737887832	1.0	1.0	0.07882012621121681	0.11637897560149017	1.0	Ess538
MPAO1_00125	shikimate dehydrogenase	825	0.0	0.0	0.0	0.9597811593216358	1.0	1.0	0.04021884067836423	0.13032323346605565	1.0	Ess538
MPAO1_00130	phospholipase C	987	0.0	0.0	0.0	0.9211798737887832	1.0	1.0	0.07882012621121681	0.11637897560149017	1.0	Ess538
MPAO1_00135	peptidylprolyl isomerase	1287	1.0	8.628127696289905E-4	299.0	0.9954371672873223	1.0	1.0	0.004562832712677656	0.17303439151689845	1.0	Ess538
MPAO1_00140	hypothetical protein	603	1.0	0.001841620626151013	144.0	0.9990611480560683	1.0	1.0	9.388519439317289E-4	0.08115546656515739	1.0	Ess538
MPAO1_00145	SulP family inorganic anion transporter	1554	0.0	0.0	0.0	0.8910712441734776	1.0	1.0	0.1089287558265224	0.13040391583468405	1.0	Ess538
MPAO1_00150	choline ABC transporter substrate-binding protein	924	0.0	0.0	0.0	0.9320475991895862	1.0	1.0	0.06795240081041376	0.11567454733959226	1.0	Ess538
MPAO1_00155	choline-sulfatase	1512	0.0	0.0	0.0	0.878961465365204	1.0	1.0	0.12103853463479597	0.13777391684417714	1.0	Ess538
MPAO1_00160	LysR family transcriptional regulator	915	0.0	0.0	0.0	0.9356985918221729	1.0	1.0	0.06430140817782715	0.11579769524181004	1.0	Ess538
MPAO1_00165	DOPA 4,5-dioxygenase	378	0.0	0.0	0.0	0.9616591369346369	1.0	1.0	0.03834086306536311	0.13280353158409214	1.0	Ess538
MPAO1_00170	Hpt domain-containing protein	366	0.0	0.0	0.0	0.9825610022351309	1.0	1.0	0.017438997764869124	0.19414096375359985	1.0	Ess538
MPAO1_00175	DNA-binding response regulator	624	0.0	0.0	0.0	0.9485900591101858	1.0	1.0	0.05140994088981421	0.11915916110028704	1.0	Ess538
